srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR3712191	SRX1871977	SRS1522217	SRP076971	PRJNA223102	Bacillus sp. 72	72	PACBIO_SMRT	PacBio RS	182160416	73455	WGS	GENOMIC	SINGLE	Bacillus sp. 72
SRR3712190	SRX1871976	SRS1522217	SRP076971	PRJNA223102	Bacillus sp. 72	72	PACBIO_SMRT	PacBio RS	119177611	45347	WGS	GENOMIC	SINGLE	Bacillus sp. 72
SRR3712189	SRX1871975	SRS1522216	SRP076970	PRJNA223103	Flavobacterium sp. 83	83	PACBIO_SMRT	PacBio RS	63526055	37541	WGS	GENOMIC	SINGLE	Flavobacterium sp. 83
SRR3712188	SRX1871974	SRS1522216	SRP076970	PRJNA223103	Flavobacterium sp. 83	83	PACBIO_SMRT	PacBio RS	117110291	73881	WGS	GENOMIC	SINGLE	Flavobacterium sp. 83
SRR3712187	SRX1871973	SRS1522216	SRP076970	PRJNA223103	Flavobacterium sp. 83	83	PACBIO_SMRT	PacBio RS	111530046	68692	WGS	GENOMIC	SINGLE	Flavobacterium sp. 83
SRR3712186	SRX1871972	SRS1522216	SRP076970	PRJNA223103	Flavobacterium sp. 83	83	PACBIO_SMRT	PacBio RS	123086141	75603	WGS	GENOMIC	SINGLE	Flavobacterium sp. 83
SRR3712185	SRX1871971	SRS1522216	SRP076970	PRJNA223103	Flavobacterium sp. 83	83	PACBIO_SMRT	PacBio RS	68084796	29856	WGS	GENOMIC	SINGLE	Flavobacterium sp. 83
SRR3712117	SRX1871919	SRS1522192	SRP076967	PRJNA195719	Pseudomonas aeruginosa NCAIM B.001380	NCAIM B.001380	PACBIO_SMRT	PacBio RS	435052264	173499	WGS	GENOMIC	SINGLE	Pseudomonas aeruginosa NCAIM (P) B 001380
SRR3712116	SRX1871918	SRS1522192	SRP076967	PRJNA195719	Pseudomonas aeruginosa NCAIM B.001380	NCAIM B.001380	PACBIO_SMRT	PacBio RS	448694433	154743	WGS	GENOMIC	SINGLE	Pseudomonas aeruginosa NCAIM (P) B 001380
SRR3711509	SRX1871328	SRS1521707	SRP076960	PRJNA178963	Enterobacteriaceae bacterium strain FGI 57	FGI 57	PACBIO_SMRT	PacBio RS	221477498	79744	WGS	GENOMIC	SINGLE	Cronobacter sp. FGI57
SRR3711508	SRX1871327	SRS1521707	SRP076960	PRJNA178963	Enterobacteriaceae bacterium strain FGI 57	FGI 57	PACBIO_SMRT	PacBio RS	212629817	73064	WGS	GENOMIC	SINGLE	Cronobacter sp. FGI57
SRR3711507	SRX1871326	SRS1521707	SRP076960	PRJNA178963	Enterobacteriaceae bacterium strain FGI 57	FGI 57	PACBIO_SMRT	PacBio RS	247265409	87797	WGS	GENOMIC	SINGLE	Cronobacter sp. FGI57
