srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
SRR15989102	SRX12277765	SRS9999047	SRP357537	PRJNA801416	Enterobacter cloacae	93	OXFORD_NANOPORE	GridION	2329471339.0	376237.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989103	SRX12277764	SRS9998498	SRP357537	PRJNA801416	Klebsiella quasipneumoniae	E1020	OXFORD_NANOPORE	GridION	507393915.0	51495.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989104	SRX12277763	SRS9999044	SRP357534	PRJNA801415	Klebsiella pneumoniae	231	OXFORD_NANOPORE	GridION	2435498046.0	388271.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989105	SRX12277762	SRS9999042	SRP357534	PRJNA801415	Klebsiella pneumoniae	11	OXFORD_NANOPORE	GridION	2466777875.0	385869.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989106	SRX12277761	SRS9999043	SRP357534	PRJNA801415	Escherichia coli	38	OXFORD_NANOPORE	GridION	616973303.0	106867.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989107	SRX12277760	SRS9998497	SRP357537	PRJNA801416	Klebsiella pneumoniae	E1195	OXFORD_NANOPORE	GridION	3197449274.0	275655.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989108	SRX12277759	SRS9998496	SRP357537	PRJNA801416	Escherichia coli	E1194	OXFORD_NANOPORE	GridION	889742459.0	130848.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989109	SRX12277758	SRS9999041	SRP357534	PRJNA801415	Escherichia coli	131	OXFORD_NANOPORE	GridION	1252696559.0	158450.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989110	SRX12277757	SRS9999040	SRP357534	PRJNA801415	Escherichia coli	38	OXFORD_NANOPORE	GridION	871491298.0	122676.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
SRR15989111	SRX12277756	SRS9999039	SRP357534	PRJNA801415	Escherichia coli	38	OXFORD_NANOPORE	GridION	1486247487.0	171483.0	WGS	GENOMIC	SINGLE	Whole Genome Sequencing of Carbapenemase-producing Enterobacterales (CPE)
